area,raw_prefix,prefix_count
filter,filter,51
filter,filter inputs,3
search suggestion,search suggestion,32
search suggestion,search suggestions,7
channel data,stream data,9
help,help,412
help,help center,2
popovers,popovers,14
popovers,popover,4
css,css,74
message header,message header,19
icons,icons,24
docs,docs,147
dev docs,dev docs,1
uv.lock,uv.lock,2
lightbox,lightbox,20
hotkey,hotkey,34
move topic modal,move topic modal,2
starlight,help beta,92
starlight,starlight help,23
starlight,starlight,1
settings data,settings data,2
people,people,47
copy paste,copy paste,3
inbox,inbox,70
inbox,inbox view,1
right sidebar,right sidebar,13
markdown,markdown,65
markdown,rendered markdown,12
markdown,rendered markdown tests,3
compose paste,compose paste,16
buddy list,buddy list,20
compose typeahead,composebox typeahead,19
compose typeahead,compose typeahead,3
templates,templates,41
send email,send email,17
support,support,26
email mirror,email mirror,19
email mirror,email mirror server,15
groups ui,groups ui,9
integrations,integrations,118
alert popup,alert popup,1
popover menus,popover menus,7
recent view,recent view,99
recent view,recents,11
message feed bottom whitespace,message feed bottom whitespace,2
inbox ui,inbox ui,22
documentation,documentation,3
help docs,help docs,1
integ docs,integ docs,1
integ docs/hubot,integ docs/hubot,1
postcss,postcss,2
types,types,4
recipient row,recipient row,7
mattermost,mattermost importer,20
mattermost,mattermost import,6
mattermost,mattermost,4
mattermost,test mattermost importer,2
mattermost,test mattermost,2
test message dict,test message dict,1
messages,messages,8
corporate,corporate,29
channels,streams,55
channels,channels,4
channels,stream,4
channels,channel,3
channels,streams ui,3
channels,stream types,2
channels,selected stream title,2
channels,channel email address,2
channels,decorated channel name,2
channels,default streams,2
channels,stream members,2
channels,stream pill,1
channels,stream ui updates,1
channels,stream subscription,1
channels,channel permissions,1
channels,channel email,1
channels,channels overlay,1
channels,example stream,1
channels,stream traffic,1
channels,stream privacy icon,1
channels,stream type icon,1
channels,stream description,1
channels,stream color,1
channels,add stream options,1
gitattributes,gitattributes,1
svg,svg,1
unread banner,unread banner,1
tooltips,tooltips,15
tooltips,tooltip,14
email senders,email senders,2
find account,find account,2
push notifications,push notifications,31
push notifications,push notification,31
channel folders,channel folders,34
channel folders,channel folder ui,4
channel folders,channel folders popover,2
channel folders,channel folder,1
channel folders,test channel folders,1
channel folders,channel folders ui,1
folders,folders,3
slack,slack import,27
slack,slack,23
slack,slack importer,23
slack,slack integration,7
slack,slack converter,7
slack,slack import doc,4
slack,slack integration doc,3
slack,test slack importer,2
slack,test slack integration,2
slack,slack importer doc,2
slack,slack incoming,2
slack,slack importer test,1
slack,slack util,1
slack,slack message conversion,1
slack,webhooks/slack,1
signup,signup,5
realm import post process,realm import post process,1
production build,production build,1
browserslist,browserslist,1
demo orgs,demo orgs,47
thumbnail,thumbnail,18
thumbnail,thumbnails,3
i18n,i18n,49
organization settings,organization settings,2
updates,updates,11
topic link util,topic link util,10
navbar,navbar,18
navbar,navbar menus,2
navbar,personal menu,1
settings panel menu,settings panel menu,1
user card popover,user card popover,6
user group popover,user group popover,1
upload,upload,45
upload,uploads,6
billing,billing,6
user groups,user groups,24
user groups,user group edit,7
user groups,groups,5
user groups,user group,2
group settings,group settings,28
realm creation form,realm creation form,1
process exporter,process exporter,1
channel settings,stream settings,56
channel settings,channel settings,19
channel settings,stream settings ui,4
channel settings,stream setting,2
channel settings,stream settings data,2
channel settings,channel setting,1
soft deactivation,soft deactivation,5
compat,compat,1
registration,registration,6
saml,saml,17
sync group,sync group,1
python,python,8
register,register,10
api,api,31
tools,tools,18
presence data,presence data,1
compose,compose,131
compose banner,compose banner,9
compose recipient,compose recipient,8
compose validate,compose validate,14
compose send menu popover,compose send menu popover,7
emoji,emoji picker,14
emoji,emoji,12
left sidebar tooltips,left sidebar tooltips,1
message actions popover,message actions popover,1
message edit,message edit,30
messages overlay ui,messages overlay ui,2
playground links popover,playground links popover,1
popover menus data,popover menus data,2
search,search,61
search pill,search pill,17
search pill,search user pill,1
sidebar ui,sidebars,14
sidebar ui,sidebar ui,13
sidebar ui,sidebar,7
channel create,create channel,12
channel create,stream create,6
channel create,test channel creation,1
tippyjs,tippyjs,1
unread ops,unread ops,12
unread ops,unread,5
views util,views util,4
eslint,eslint,19
process fts updates,process fts updates,6
puppet,puppet,64
events,events,17
import,import,25
import,import util,11
import,data import,10
import,import realm,6
import,test import export,2
showroom,showroom,3
inputs,inputs,9
left sidebar,left sidebar,186
configure rabbitmq,configure rabbitmq,1
sync groups,sync groups,1
new,new,1
users,users,25
drafts,drafts,24
pill typeahead,pill typeahead,2
typeahead helper,typeahead helper,4
buddy data,buddy data,6
stripe,stripe,44
stripe,test stripe,10
ldap,ldap,10
self hosting,self hosting,1
portico,portico,74
portico,docs and portico,3
portico,portico signin,3
portico,legacy portico,2
portico,portico markdown,2
message list popover,message list popover,1
message list hover,message list hover,2
kandra,kandra,13
ui util,ui util,3
reminders,reminders,14
reminders,reminder,4
message reminder,message reminder,2
input pill,input pill,8
compose state,compose state,4
compose actions,compose actions,6
compose ui,compose closed ui,5
compose ui,compose ui,4
compose ui,closed compose,1
overlays,overlay,12
overlays,overlays,10
buttons,buttons,9
echo,echo,5
condenser,condenser,2
message actions,message actions,2
message row,message row,10
admin,admin,3
hash util,hash util,19
api docs,api docs,120
postgres,postgres,6
server events,server events,7
user circles,user circles,3
typeahead,typeahead,27
settings ui,settings ui,5
server events dispatch,server events dispatch,4
styles,styles,3
reactions,reactions,8
run dev,run dev,12
sentry,sentry,6
install,install uv,24
install,install node,13
install,install,4
install,install shfmt,3
test auth backends,test auth backends,6
requirements,requirements,41
upgrade postgresql,upgrade postgresql,8
compose action,compose action,1
invites,invite,8
invites,invites,6
attachments,attachments,9
unread data,unread data,1
message feed ui,message feed ui,1
page loader,page loader,1
channel edit,stream edit,5
channel edit,stream edit subscribers,1
channel edit,channel edit,1
components,components,4
message view,message view,22
message view,message view header,3
populate analytics db,populate analytics db,1
migrations,migrations,24
migrations,migration,2
integration docs,integration docs,15
peer data,peer data,13
dependencies,dependencies,26
password reset,password reset,1
web,web,30
hashchange,hashchange,2
scheduled messages,scheduled messages,12
openapi,openapi,27
scheduled message,scheduled message,3
app,app,2
views,views,7
common,common,2
url decoding,url decoding,7
narrow helper,narrow helper,1
url encoding,url encoding,9
case studies,case studies,3
process fts update,process fts update,1
semgrep,semgrep,3
channel list,stream list,59
channel list,channel list item,1
topics,topics,11
zerver,zerver,28
user events,user events,9
header avatar,header avatar,2
email notifications,email notifications,8
email notifications,email notification,3
topic list,topic list,28
topic list,topic list data,9
topic list,channel topics list,2
topic list,topic list data test,2
topic list,test stream topic history,1
topic list,stream topic history util,1
topic list,channel topic list,1
social auth,social auth,2
subscription data,subscription data,1
mypy,mypy,11
generate integration docs screenshot,generate integration docs screenshot,14
modals,modals,59
modals,modal,12
process new human user,process new human user,1
logo,logo,2
webhooks/opsgenie,webhooks/opsgenie,1
actions,actions,2
app variable,app variable,1
test bot data,test bot data,1
dialog widget,dialog widget,5
ruff,ruff,24
validator,validator,3
lookups,lookups,1
user settings,user settings,7
user settings,settings users,6
populate db,populate db,9
populate db,populate analytics,2
flush memcached,flush memcached,1
deferred email senders,deferred email senders,1
confirm email change,confirm email change,2
do start email change process,do start email change process,1
validate email not already in realm,validate email not already in realm,1
widgets,widgets,13
links,links,4
banners,banners,14
setup apt repo,setup apt repo,2
channel privacy,channel privacy,3
channel privacy,test channel permissions,1
desktop notification,desktop notification,2
desktop notifications,desktop notifications,1
notifications,notifications,15
channel popover,stream popover,11
channel popover,stream card popover,2
channel popover,channel popover,1
home,home,6
test event system,test event system,1
validate token,validate token,1
zilencer,zilencer,8
ui report,ui report,1
custom profile fields,custom profile fields,20
narrow history,narrow history,1
message delete,message delete,6
devlogin,devlogin,1
add emoji,add emoji,2
check rabbitmq queue,check rabbitmq queue,1
nagios,nagios,1
wal g exporter,wal g exporter,1
auth,auth,10
bots,bots,29
bots,bot,2
icon button,icon button,1
alerts,alerts,2
narrow banner,narrow banner,11
empty feed notice,empty feed notice,2
user profile,user profile,40
add users button,add users button,1
subscribers,subscribers,1
state data,state data,2
status modal,status modal,1
personal recipients,personal recipient,3
personal recipients,personal recipients,3
avatar,avatar,4
mandatory topics,mandatory topics,1
bug,bug,2
x buttons,x buttons,1
onboarding steps,onboarding steps,5
selects,selects,1
bootstrap typeahead,bootstrap typeahead,5
report message,report message,1
integration doc,integration doc,1
remote billing page,remote billing page,1
manage,manage,1
request,request,1
restart server,restart server,5
settings banner,settings banner,1
settings account,settings account,1
list util,list util,1
welcome bot,welcome bot,2
backend,backend,3
analytics,analytics,3
dm list,pm list,11
dm list,pm list item,1
dm list,pm list data,1
dm list,pm list test,1
topic box,topic box,2
zephyr/user pill,zephyr/user pill,1
user pill,user pill,9
register queue,register queue,2
send to push bouncer,send to push bouncer,1
queue,queue,2
empji picker,empji picker,1
notification,notification,1
test documentation,test documentation,1
models,models,9
bot settings,bot settings,6
setting,setting,1
bot list admin,bot list admin,1
message feed top notice,message feed top notice,1
message feed notice,message feed notice,1
combined feed,combined feed,1
integration url modal,integration url modal,11
message live update,message live update,3
navigation views,navigation views,3
subscriptions,subscriptions,10
dropdown list widget,dropdown list widget,1
muted users,muted users,6
message body,message body,1
export search,export search,20
images,images,2
message edit history,message edit history,13
scheduled message overlay,scheduled message overlay,2
onboarding,onboarding,8
desktop notification banner,desktop notification banner,1
linter,linter,2
message move,message move,2
message flags,message flags,8
me messages,me messages,2
default user settings,default user settings,1
new help center,new help center,1
changelog,changelog,4
reload,reload,7
topic generator,topic generator,2
drafts ui,drafts ui,2
compose notifications,compose notifications,3
notify local mixes,notify local mixes,1
preferences,preferences,1
makemessages,makemessages,2
test e2ee push notification,test e2ee push notification,1
topic filter,topic filter,1
